Scopus refine results values

"Your query : (SRCTITLE(SIGIR Forum) AND ( LIMIT-TO ( PUBYEAR,2003) OR LIMIT-TO ( PUBYEAR,2002) OR LIMIT-TO ( PUBYEAR,2001) OR LIMIT-TO ( PUBYEAR,2000) OR LIMIT-TO ( PUBYEAR,1999) OR LIMIT-TO ( PUBYEAR,1998) OR LIMIT-TO ( PUBYEAR,1997) OR LIMIT-TO ( PUBYEAR,1996) OR LIMIT-TO ( PUBYEAR,1995) ) )"


Number of results : 597

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Ishikawa, T.","2",,,,,,,,,"TREC","6","Technology Laboratory","1",,,,,,,,
,,,,"Jacquemin, C.","2",,,,,,,,,"Boolean Queries","5","U.S. Government","1",,,,,,,,
,,,,"Ji, X.","2",,,,,,,,,"Cognitive Systems","5","Research and Development","1",,,,,,,,
,,,,"Johnson, S.E.","2",,,,,,,,,"Computer Architecture","5","ENSI","1",,,,,,,,
,,,,"Jones, R.","2",,,,,,,,,"Computer Music","5","Office of Research and Development","1",,,,,,,,
,,,,"Jordan, M.I.","2",,,,,,,,,"Computer Programming Languages","5","NACSIS","1",,,,,,,,
,,,,"Jourlin, P.","2",,,,,,,,,"Computer Software Selection And Evaluation","5","WEST PUBLISHING CORPORATION","1",,,,,,,,
,,,,"Kaszkiel, M.","2",,,,,,,,,"Data Fusion","5","Overture Services, Inc.","1",,,,,,,,
,,,,"Kekalainen, J.","2",,,,,,,,,"Design","5","Akwan Information Technologies","1",,,,,,,,
,,,,"Kelly, D.","2",,,,,,,,,"Distributed Information Retrieval","5","Infoseek Corp","1",,,,,,,,
,,,,"Keshi, I.","2",,,,,,,,,"Formal Logic","5","CLIPS-IMAG","1",,,,,,,,
,,,,"Kim, J.Y.","2",,,,,,,,,"Functions","5","N.L.M.","1",,,,,,,,
,,,,"Kimoto, H.","2",,,,,,,,,"Fuzzy Sets","5","Southeast Asian Software Research","1",,,,,,,,
,,,,"Klein, S.T.","2",,,,,,,,,"Image Segmentation","5","eMotion, Inc.","1",,,,,,,,
,,,,"Koster, C.H.A.","2",,,,,,,,,"Information Extraction","5","Open Text Corporation","1",,,,,,,,
,,,,"Kraaij, W.","2",,,,,,,,,"Object Oriented Programming","5","Nijmegen Inst for Cognition and","1",,,,,,,,
,,,,"Krovetz, R.","2",,,,,,,,,"Relevance Feedback","5","Cornell Digital Library Research Group","1",,,,,,,,
,,,,"Kwok, K.L.","2",,,,,,,,,"Resource Selection","5","Korean Research and Development Information Center","1",,,,,,,,
,,,,"Kwok, K.L.","2",,,,,,,,,"Robustness (control Systems)","5","Village Networks. Inc.","1",,,,,,,,
